cascade_group,cascade_order,station_asset_id,upper_reservoir_id,lower_reservoir_id,hydro_type,travel_time_h,travel_time_evidence_class,travel_time_source,travel_time_low_h,travel_time_high_h,travel_time_method,travel_time_sensitivity_cases,minimum_release_m3_per_s,minimum_release_evidence_class,minimum_release_source,minimum_release_rule_type,minimum_release_schedule_id,minimum_release_locator,minimum_release_note,max_discharge_m3_per_s,spill_capacity_m3_per_s,resolution_status,notes
Bridge,1,BC_LAJ_GSS,BC_LAJ_RES,BC_BR1_RES,reservoir,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,,observed,bridge_wup_2011,state_conditional,bridge_lajoie_elevation_rule,"plan page 16, section 4.5.1.3","Combined La Joie turbine, pressure-release-valve, hollow-cone-valve, and spill discharge to Middle Bridge River varies with Downton Lake elevation. A constant station scalar is not supported.",50.6,127.0,schedule_implementation_required,
Bridge,2,BC_BR1_GSS,BC_BR1_RES,BC_SON_RES,reservoir,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,,unknown,,unknown,,,,160.0,1171.2,minimum_release_evidence_required,
Bridge,2,BC_WDN_GSS,BC_WDN_RES,BC_SON_RES,ror-water,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,,unknown,,unknown,,,,43.0,1000.0,minimum_release_evidence_required,
Bridge,3,BC_SON_GSS,BC_SON_RES,BC_FRASER_RIVER_SINK,reservoir,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,,observed,bridge_wup_2011,route_specific_constant,bridge_seton_river_minimum,"plan page 20, section 4.5.3.3",Seton Dam must release at least 5 m3/s to Seton River at all times. Turbine discharge enters the Fraser River and cannot satisfy this rule.,142.76,410.4,schedule_implementation_required,
Campbell,1,BC_SCA_GSS,BC_SCA_RES,BC_LDR_RES,reservoir,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,0,not_applicable,campbell_wup_2012,none,,Strathcona operating conditions,No minimum discharge requirement is specified.,197.4,577.0,resolved,
Campbell,2,BC_LDR_GSS,BC_LDR_RES,BC_JHT_RES,reservoir,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,0,not_applicable,campbell_wup_2012,none,,Ladore operating conditions,No minimum discharge requirement is specified.,167.9,1266.0,resolved,
Campbell,3,BC_JHT_GSS,BC_JHT_RES,DEFAULT,reservoir-impute,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,,observed,campbell_wup_2012,seasonal_route_specific,campbell_john_hart_canyon,John Hart operating conditions,The plan specifies seasonal spillway and lower-river rules. A single station scalar would be physically and legally incomplete.,124.0,1238.0,schedule_implementation_required,
Kootenay,1,,BC_DUN_RES,,,,unknown,,,,,,,unknown,,unknown,,,,,,topology_review_required,Cascade-labelled reservoir has no processed generating edge.
Mica/Columbia,1,BC_MCA_GSS,BC_MCA_RES,BC_REV_RES,reservoir,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,,unknown,,unknown,,,,1590.0,4290.0,minimum_release_evidence_required,
Mica/Columbia,2,BC_REV_GSS,BC_REV_RES,BC_ALH_RES,reservoir,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,142,observed,revelstoke_minimum_flow_2011,constant,,main announcement,Continuous minimum release reported by BC Hydro.,2055.0,7110.0,resolved,
Mica/Columbia,2,BC_WGS_GSS,BC_WGS_RES,BC_ALH_RES,reservoir,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,0,not_applicable,whatshan_wup_2005,none,,"plan page 6, section 4.4.1",The accepted Water Use Plan explicitly states that no minimum flow release is required from Whatshan Dam. Reservoir-elevation limits remain separate storage constraints.,34.4,257.0,resolved,
Mica/Columbia,2,BC_WHN_GSS,BC_WHN_RES,BC_ALH_RES,ror-water,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,,observed,walter_hardman_wup_2006,inflow_conditional_route_specific,walter_hardman_cranberry_creek,"plan page 7, diversion-dam operating conditions","Release 0.1 m3/s to Cranberry Creek, or all available natural inflow when it is less than 0.1 m3/s. Turbine discharge enters Arrow Lakes Reservoir and cannot satisfy the creek requirement.",4.33,11.0,schedule_implementation_required,
Mica/Columbia,3,BC_ALH_GSS,BC_ALH_RES,DEFAULT,reservoir,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,,unknown,,unknown,,,,530.0,10500.0,minimum_release_evidence_required,
Peace,1,BC_GMS_GSS,BC_GMS_RES,BC_PCN_RES,reservoir,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,0,not_applicable,peace_wup_2003,none,,plan page 7,No additional water-management constraint is specified.,1968.02,9200.0,resolved,
Peace,2,BC_PCN_GSS,BC_PCN_RES,BC_STC_RES,reservoir-impute,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,283.2,observed,peace_wup_2003,constant,,plan page 7,Minimum release specified by the accepted Water Use Plan.,1982.0,10280.0,resolved,
Peace,3,BC_STC_GSS,BC_STC_RES,DEFAULT,reservoir-impute,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,390,observed,site_c_decision_statement_2025,constant,,"condition 4.1, PDF page 7","Legally binding federal decision condition; corroborated by BC Hydro's published normal operating range of 390 to 2,700 m3/s.",793.0,10280.0,resolved,
Seven Mile,1,BC_SEV_GSS,BC_SEV_RES,DEFAULT,reservoir,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,0,not_applicable,seven_mile_wup_2006,none,seven_mile_waneta_coordination,plan pages 11-12,No positive Seven Mile station minimum is specified: the accepted plan permits zero-discharge minimum blocks. This resolves only the minimum- release parameter. Boundary-Seven Mile-Waneta hydraulic coordination and spill-minimization remain separate operational constraints.,1473.0,2000.0,resolved,
Seven Mile,2,BC_WAN_GSS,BC_WAN_RES,DEFAULT,ror-water,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,,unknown,,unknown,,,,838.0,DEFAULT,minimum_release_evidence_required,
Stave,1,BC_ALU_GSS,BC_ALU_RES,BC_SFL_RES,reservoir,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,,observed,alouette_wup_2009,seasonal_route_specific,alouette_spillway,facility operating conditions,The documented spillway release is seasonal and applies to a specific route; it must not be converted into a year-round station scalar.,24.0,3.0,schedule_implementation_required,
Stave,2,BC_SFL_GSS,BC_SFL_RES,BC_RUS_RES,reservoir-impute,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,0,not_applicable,stave_wup,none,,"plan pages 4-8, sections 4.2-4.5","Stave Falls discharges directly into Hayward Reservoir and is operated in close hydraulic balance with Ruskin. The accepted plan specifies no separate positive minimum-release rule at Stave Falls; ecological flow, tailwater, and block-loading requirements apply downstream at Ruskin.",297.0,1450.0,resolved,
Stave,3,BC_RUS_GSS,BC_RUS_RES,DEFAULT,reservoir-impute,0,scenario,mauel_2023_thesis,0,12,"Same-hour routing is the reference case because the prior hourly BC model found no station-specific delay data. Uniform 1, 3, 6, and 12 hour cases are predeclared structural sensitivities; they are not calibrated estimates.",0|1|3|6|12,,observed,stave_wup,intertemporal_block_loading_and_tailwater,stave_ruskin,Ruskin operating conditions,"Tailwater level and tide determine the physical release needed. Weekly fall and daily spring block-loading rules constrain changes in combined turbine and spill discharge, with a 100 m3/s floor when peaking above the threshold. A constant station scalar is not supported.",348.0,4430.0,schedule_implementation_required,
